application_id,age,education,employment_type,marital_status,dependents,monthly_income,loan_amount,loan_term,interest_rate,loan_purpose,credit_score,credit_history_length,existing_loans,existing_debt,credit_inquiries,payment_history_pct,late_payments,bankruptcy_history,home_ownership,employment_length,default,application_date
APP000000,53,Bachelor,Full-Time,Married,4,50000.0,398953.99,48,9.63,Medical,706,2.3,5,61172.14,1,82.7,2,0,Rent,2.4,0,2020-06-02
APP000001,41,Bachelor,Full-Time,Single,1,50000.0,500000.0,36,23.09,Education,744,9.3,2,85333.16,0,57.58,2,0,Own,7.9,0,2020-08-25
APP000002,26,Master,Full-Time,Single,1,50000.0,419263.35,36,7.46,Medical,841,9.1,0,0.0,2,75.84,2,0,Rent,3.5,0,2022-04-16
APP000003,54,Bachelor,Full-Time,Married,3,37279.76,500000.0,60,16.4,Personal,665,5.6,1,184640.0,0,87.21,2,0,Rent,6.6,0,2022-08-15
APP000004,38,Bachelor,Full-Time,Married,3,27811.36,349808.55,24,11.16,Auto,739,6.9,2,38079.69,2,84.85,1,0,Rent,1.2,0,2022-04-30
APP000005,32,High School,Full-Time,Widowed,2,50000.0,500000.0,36,20.72,Business,724,2.6,2,181894.57,2,77.41,0,0,Rent,6.9,0,2021-06-30
APP000006,44,Bachelor,Full-Time,Single,1,23014.72,324889.09,48,17.48,Personal,703,4.0,0,0.0,1,60.24,0,0,Own,0.9,0,2023-05-06
APP000007,54,Bachelor,Full-Time,Widowed,1,50000.0,317590.02,48,18.81,Debt Consolidation,719,4.1,0,0.0,4,71.17,1,0,Rent,3.0,0,2022-05-29
APP000008,30,PhD,Full-Time,Single,3,50000.0,500000.0,24,23.42,Auto,754,7.9,0,0.0,0,88.88,0,0,Own,13.8,0,2022-09-25
APP000009,26,Bachelor,Part-Time,Single,2,50000.0,500000.0,48,13.24,Personal,600,4.9,0,0.0,6,56.95,0,0,Own,2.2,0,2023-06-27
APP000010,33,Master,Part-Time,Married,0,16882.15,86061.77,24,8.84,Business,719,13.2,1,11409.71,1,84.2,1,0,Mortgage,3.4,0,2021-07-23
APP000011,26,Master,Full-Time,Divorced,2,50000.0,190358.71,24,15.8,Auto,605,3.4,3,58589.77,1,88.78,2,0,Rent,1.8,0,2021-02-21
